source,run_num,dl,output,log_name,num_cases
model_shared_cat_gru_11-1.78.h5,0,0.494353765,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_11-1.78.h5,1,0.498318581,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_11-1.78.h5,2,0.489357329,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_11-1.78.h5,3,0.486576091,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_11-1.78.h5,4,0.48749397,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_11-1.78.h5,5,0.486489984,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_11-1.78.h5,6,0.500182841,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_11-1.78.h5,7,0.500094888,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_11-1.78.h5,8,0.494738396,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_11-1.78.h5,9,0.49365472,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_06-1.86.h5,0,0.475421053,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_06-1.86.h5,1,0.476830409,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_06-1.86.h5,2,0.474106016,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_06-1.86.h5,3,0.469209996,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_06-1.86.h5,4,0.472200537,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_06-1.86.h5,5,0.48493494,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_06-1.86.h5,6,0.482074794,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_06-1.86.h5,7,0.465284512,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_06-1.86.h5,8,0.479403383,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_06-1.86.h5,9,0.480496649,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_18-1.98.h5,0,0.534972722,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_18-1.98.h5,1,0.538113459,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_18-1.98.h5,2,0.534861614,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_18-1.98.h5,3,0.538465519,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_18-1.98.h5,4,0.536844947,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_18-1.98.h5,5,0.537162636,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_18-1.98.h5,6,0.535548163,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_18-1.98.h5,7,0.533855249,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_18-1.98.h5,8,0.538776548,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_18-1.98.h5,9,0.528738021,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_gru_30-1.87.h5,0,0.476078164,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_gru_30-1.87.h5,1,0.483218163,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
