source,run_num,els,output,log_name,num_cases
model_specialized_gru_78-1.32.h5,7,0.587452759,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_78-1.32.h5,8,0.58158311,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_78-1.32.h5,9,0.578547808,outputs/20200805_185852129224,ConsultaDataMining201618,252
PurchasingExample_training.bpmn,0,0.560665611,outputs/20200805_185852128833,PurchasingExample,173
PurchasingExample_training.bpmn,1,0.57008497,outputs/20200805_185852128833,PurchasingExample,173
PurchasingExample_training.bpmn,2,0.568610728,outputs/20200805_185852128833,PurchasingExample,173
PurchasingExample_training.bpmn,3,0.871243861,outputs/20200805_185852128833,PurchasingExample,173
PurchasingExample_training.bpmn,4,0.592453574,outputs/20200805_185852128833,PurchasingExample,173
PurchasingExample_training.bpmn,5,0.648796412,outputs/20200805_185852128833,PurchasingExample,173
PurchasingExample_training.bpmn,6,0.575838703,outputs/20200805_185852128833,PurchasingExample,173
PurchasingExample_training.bpmn,7,0.688512479,outputs/20200805_185852128833,PurchasingExample,173
PurchasingExample_training.bpmn,8,0.586080655,outputs/20200805_185852128833,PurchasingExample,173
PurchasingExample_training.bpmn,9,0.576102897,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_42-0.42.h5,0,0.670000189,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_42-0.42.h5,1,0.670496408,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_42-0.42.h5,2,0.682879112,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_42-0.42.h5,3,0.63564988,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_42-0.42.h5,4,0.60827925,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_42-0.42.h5,5,0.662491404,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_42-0.42.h5,6,0.704575184,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_42-0.42.h5,7,0.646878195,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_42-0.42.h5,8,0.653867546,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_42-0.42.h5,9,0.639420072,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_87-0.42.h5,0,0.623495691,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_87-0.42.h5,1,0.989085546,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_87-0.42.h5,2,0.663883172,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_87-0.42.h5,3,0.672189051,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_87-0.42.h5,4,0.644222941,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_87-0.42.h5,5,0.671544038,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_87-0.42.h5,6,0.794152878,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_87-0.42.h5,7,0.581750098,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_87-0.42.h5,8,0.587800891,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_87-0.42.h5,9,0.81461397,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_38-0.41.h5,0,0.586291086,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_38-0.41.h5,1,0.637605985,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_38-0.41.h5,2,1.990181132,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_38-0.41.h5,3,0.644434657,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_38-0.41.h5,4,0.615936481,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_38-0.41.h5,5,0.634789833,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_38-0.41.h5,6,0.652261083,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_38-0.41.h5,7,0.63083128,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_38-0.41.h5,8,0.629439658,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_38-0.41.h5,9,0.631256983,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_79-0.37.h5,0,0.596752851,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_79-0.37.h5,1,0.657918768,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_79-0.37.h5,2,0.53825799,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_79-0.37.h5,3,0.552357961,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_79-0.37.h5,4,0.885192799,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_79-0.37.h5,5,0.561442601,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_79-0.37.h5,6,0.533990434,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_79-0.37.h5,7,0.716734759,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_79-0.37.h5,8,0.554684517,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_79-0.37.h5,9,0.570879662,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_14-0.52.h5,0,0.675874001,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_14-0.52.h5,1,0.632445712,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_14-0.52.h5,2,0.646336548,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_14-0.52.h5,3,0.703411945,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_14-0.52.h5,4,0.701507076,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_14-0.52.h5,5,0.666251826,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_14-0.52.h5,6,1.665112382,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_14-0.52.h5,7,0.627999991,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_14-0.52.h5,8,0.696951159,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_14-0.52.h5,9,0.669289041,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_gru_35-0.51.h5,0,1.310681023,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_gru_35-0.51.h5,1,0.57794584,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_gru_35-0.51.h5,2,0.554249642,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_gru_35-0.51.h5,3,0.628318062,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_gru_35-0.51.h5,4,0.700659537,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_gru_35-0.51.h5,5,0.641658642,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_gru_35-0.51.h5,6,1.043880133,outputs/20200805_185852128833,PurchasingExample,173
