source,run_num,mae_log,output,log_name,num_cases
model_shared_cat_gru_11-1.78.h5,8,723929.6001,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_11-1.78.h5,9,723574.288,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_06-1.86.h5,0,722784.9597,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_06-1.86.h5,1,721461.3717,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_06-1.86.h5,2,721760.2834,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_06-1.86.h5,3,721711.7592,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_06-1.86.h5,4,722407.0014,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_06-1.86.h5,5,721035.6594,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_06-1.86.h5,6,721115.8187,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_06-1.86.h5,7,722055.6446,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_06-1.86.h5,8,720787.5803,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_06-1.86.h5,9,722317.1328,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_18-1.98.h5,0,734699.3716,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_18-1.98.h5,1,735344.0288,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_18-1.98.h5,2,735167.9984,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_18-1.98.h5,3,734006.4805,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_18-1.98.h5,4,734506.9546,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_18-1.98.h5,5,734721.4934,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_18-1.98.h5,6,734858.688,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_18-1.98.h5,7,735137.9851,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_18-1.98.h5,8,734949.9233,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_18-1.98.h5,9,735159.2251,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_gru_30-1.87.h5,0,746418.3038,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_gru_30-1.87.h5,1,746379.8157,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_specialized_gru_30-1.87.h5,2,746455.5349,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
